date,address,type,WAT,Confidence,risk_level,risk_description,,have?
2023-11-09,0xc92962f4c20ce9dd3181042074f3c5776a3e22dd,General_Trending_Risky,6603,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xc92962f4c20ce9dd3181042074f3c5776a3e22dd""}]",,No
2023-11-09,0x3065cd33559d5dc56b9b167d9485f5361da37faa,General_Trending_Risky,6570,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x3065cd33559d5dc56b9b167d9485f5361da37faa""}]",,No
2023-11-09,0x25ab3efd52e6470681ce037cd546dc60726948d3,General_Trending_Risky,6558,70,4,"[{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x25ab3efd52e6470681ce037cd546dc60726948d3""}]",,No
2023-11-09,0x3ab7014d0e896a8e486fbf5bc590eeb93d6f44bf,General_Trending_Risky,6554,70,4,"[{""name"":""centralization"",""value"":""The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk.""},{""name"":""scam"",""value"":""The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.""}]",,No
2023-11-09,0x685bfdd3c2937744c13d7de0821c83191e3027ff,General_Trending_Risky,6510,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x685bfdd3c2937744c13d7de0821c83191e3027ff""}]",,No
2023-11-09,0xd7b1b61aeaeb655d7bd08aa75ac4006776619a35,General_Trending_Risky,6323,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xd7b1b61aeaeb655d7bd08aa75ac4006776619a35""}]",,No
2023-11-09,0x2ab0e9e4ee70fff1fb9d67031e44f6410170d00e,General_Trending_Risky,6238,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x2ab0e9e4ee70fff1fb9d67031e44f6410170d00e""}]",,No
2023-11-09,0xfc46b09bf98858b08c5c5deeb5c19e609fabd398,General_Trending_Risky,6040,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xfc46b09bf98858b08c5c5deeb5c19e609fabd398""}]",,No
2023-11-09,0x8c1e4b8aea59921889fbe7b68b2ae06e2dd2a7a1,General_Trending_Risky,5526,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x8c1e4b8aea59921889fbe7b68b2ae06e2dd2a7a1""}]",,No
2023-11-09,0xce16f69375520ab01377ce7b88f5ba8c48f8d666,General_Trending_Risky,5524,70,4,"[{""name"":""scam"",""value"":""The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.""},{""name"":""behavior-issue"",""value"":""The address is found to be associated with some already known malicious addresses.""}]",,No
2023-11-09,0x0000000000f73a9daf39d74d785f5886bfbae81b,General_Trending_Risky,5354,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x0000000000f73a9daf39d74d785f5886bfbae81b""}]",,No
2023-11-09,0x8ea43e15b1a616a19903f6a87498f7dca1efae0f,General_Trending_Risky,5024,70,3,"[{""name"":""scam"",""value"":""The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.""}]",,No
2023-11-09,0x1c73c9a44b3023134f7eac7ab30e9ab5a4615a76,General_Trending_Risky,4893,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x1c73c9a44b3023134f7eac7ab30e9ab5a4615a76""}]",,No
2023-11-09,0x066aee69d93dee28b32a57febd1878a2d94f6b0c,General_Trending_Risky,4837,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x066aee69d93dee28b32a57febd1878a2d94f6b0c""}]",,No
2023-11-09,0xb591bcf80709b8a2010bff334ffe1f79bc4ce615,General_Trending_Risky,4669,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xb591bcf80709b8a2010bff334ffe1f79bc4ce615""}]",,No
2023-11-09,0xc632f90affec7121120275610bf17df9963f181c,General_Trending_Risky,4024,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]",,No
2023-11-09,0x4eae52907dba9c370e9ee99f0ce810602a4f2c63,General_Trending_Risky,3989,70,4,"[{""name"":""centralization"",""value"":""The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk.""},{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""scam"",""value"":""The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.""}]",,No
2023-11-09,0xd5da38643b36470d6f60bb498ee1a7ae45a5d005,General_Trending_Risky,3905,70,4,"[{""name"":""unverified"",""value"":""The contract is unverified which always indicates some potential risks, please be careful of scam or hack risk.""}]",,No
2023-11-09,0xf5c040b0a1a575e24181f5a1a37e2ea496473347,General_Trending_Risky,3779,85,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]",,No
2023-11-09,0x12bb890508c125661e03b09ec06e404bc9289040,General_Trending_Risky,3767,70,3,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]",,No
2023-11-09,0x0000000000f83bf708c3e3bd57f24411f6fc67f5,General_Trending_Risky,3741,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x0000000000f83bf708c3e3bd57f24411f6fc67f5""}]",,No
2023-11-09,0xa4958e0660cce1b58b8c623bebaabf0959e9c1a3,General_Trending_Risky,3523,70,3,"[{""name"":""scam"",""value"":""The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.""}]",,No
2023-11-09,0x22dcf18fda7eb5e1fed0a53568d702de8107f638,General_Trending_Risky,3432,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x22dcf18fda7eb5e1fed0a53568d702de8107f638""}]",,No
2023-11-09,0xaac3ec1c9ab815ae95536c7b3491ebcc9cccde66,General_Trending_Risky,3432,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xaac3ec1c9ab815ae95536c7b3491ebcc9cccde66""}]",,No
2023-11-09,0xfce4d8fa21eba2f81bbec1f05f73b639d6023a20,General_Trending_Risky,3381,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xfce4d8fa21eba2f81bbec1f05f73b639d6023a20""}]",,No
2023-11-09,0xa0c76ebc7a944b37ebf5e0fe797bea61ddc0ca7c,General_Trending_Risky,3376,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xa0c76ebc7a944b37ebf5e0fe797bea61ddc0ca7c""}]",,No
2023-11-09,0x4fe59adcf621489ced2d674978132a54d432653a,General_Trending_Risky,3316,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x4fe59adcf621489ced2d674978132a54d432653a""}]",,No
2023-11-09,0x65efb57c57c0b870f378ba08ee6ba305ca14491f,General_Trending_Risky,3249,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x65efb57c57c0b870f378ba08ee6ba305ca14491f""}]",,No
2023-11-09,0xafa97b96325aa5595061018f6aa3f64c612a83d9,General_Trending_Risky,3078,70,4,"[{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xafa97b96325aa5595061018f6aa3f64c612a83d9""}]",,No
2023-11-09,0x02e8af9e99c6439ba33044b39c283a4ab24e327e,General_Trending_Risky,2945,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x02e8af9e99c6439ba33044b39c283a4ab24e327e""}]",,No
2023-11-09,0xf466f27fb811ab1572ca67ab438e966910f5d9c1,General_Trending_Risky,2927,70,4,"[{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xf466f27fb811ab1572ca67ab438e966910f5d9c1""}]",,No
2023-11-09,0xcf3b7a1e07d701b76d9f0569b03ec3b30c24d30b,General_Trending_Risky,2789,85,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]",,No
2023-11-09,0x3e81aa8d6813ec9d7e6ddb4e523fb1601a0e86f3,General_Trending_Risky,2774,70,3,"[{""name"":""scam"",""value"":""The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.""}]",,No
2023-11-09,0xa70033bbd8b244ba0817d5cb0798495f3ccfe1af,General_Trending_Risky,2756,70,3,"[{""name"":""centralization"",""value"":""The contract contains some privileged role function which could mean some centralization risk, please be careful of rugpull risk.""}]",,No
2023-11-09,0xf3c1f7d48c2696e8756f976b113e7d1ddccd87df,General_Trending_Risky,2585,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xf3c1f7d48c2696e8756f976b113e7d1ddccd87df""}]",,No
2023-11-09,0x83d3c2d1a55687498df6800c5f173ec6a7556089,General_Trending_Risky,2511,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x83d3c2d1a55687498df6800c5f173ec6a7556089""}]",,No
2023-11-09,0x0000000519ae2727ccd6d3c00c00a76473a002ce,General_Trending_Risky,2440,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x0000000519ae2727ccd6d3c00c00a76473a002ce""}]",,No
2023-11-09,0x16373ab3f11b7b20dad93fc4234a06694c39a821,General_Trending_Risky,2360,85,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]",,No
2023-11-09,0x90006347070838f0fcbb33dc732b2c7b48d1a784,General_Trending_Risky,2333,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x90006347070838f0fcbb33dc732b2c7b48d1a784""}]",,No
