date,address,type,WAT,Confidence,risk_level,risk_description
2023-11-23,0x0000000000f83bf708c3e3bd57f24411f6fc67f5,General_Trending_Risky,5160,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x0000000000f83bf708c3e3bd57f24411f6fc67f5""}]"
2023-11-23,0xf5c040b0a1a575e24181f5a1a37e2ea496473347,General_Trending_Risky,5149,880,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]"
2023-11-23,0xabe776435f7459e2f5ba773bfb753ed19a053dd0,General_Trending_Risky,4703,70,4,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xabe776435f7459e2f5ba773bfb753ed19a053dd0""}]"
2023-11-23,0x0000000000f73a9daf39d74d785f5886bfbae81b,General_Trending_Risky,4266,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x0000000000f73a9daf39d74d785f5886bfbae81b""}]"
2023-11-23,0xe341f30ea040bf3691aa069b8c5c213f72676421,General_Trending_Risky,3832,70,4,"[{""name"":""scam"",""value"":""The contract has some scam features such as Ponzi, Honeypot or fake token, please be careful of scam risk.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xe341f30ea040bf3691aa069b8c5c213f72676421""}]"
2023-11-23,0xf4a510a6b294a656f0afc2eed3f2868965c57bb1,General_Trending_Risky,3661,70,4,"[{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0xf4a510a6b294a656f0afc2eed3f2868965c57bb1""}]"
2023-11-23,0xcf3b7a1e07d701b76d9f0569b03ec3b30c24d30b,General_Trending_Risky,3636,880,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]"
2023-11-23,0xd7031e2b1850340cc668ffae5f11e6f9e2046c2f,General_Trending_Risky,3636,880,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""}]"
2023-11-23,0x0000000519ae2727ccd6d3c00c00a76473a002ce,General_Trending_Risky,3626,80,5,"[{""name"":""blacklist"",""value"":""The address is blacklisted based on threat intelligence or manual analysis.""},{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x0000000519ae2727ccd6d3c00c00a76473a002ce""}]"
2023-11-23,0x5ff8f2d4c416bef7a338f8d7e52d5f2803459d67,General_Trending_Risky,3568,70,4,"[{""name"":""red_alarm"",""value"":""The address was marked as red alarm on: https://dappbay.bnbchain.org/risk-scanner/0x5ff8f2d4c416bef7a338f8d7e52d5f2803459d67""}]"
