update_dt,chain_id,address,risk_level,confidence,risk_descriptions,ref_link
2023-08-24,56,0x71aea4d7187ac71c9ac76a31f14d236f327cd017,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xf43d86d3af365ed5c42fa925bebd49ef0f56b974,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x71753d0586ea6b979dfccbb492a45e611e0e0ad6,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x49b577a29ca3e62ffaa81c065227b4ef8a92a33f,5,80,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x4b97c9bee3677797034033337f32115115867a62,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xeb24a756bdcc1059abcf408d5b916a0f8060477a,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xa03110800894b3ccf8723d991d80875561f96777,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x74f207765e4c1c912b5206d716a8b8d6953a5ff1,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xd25929305943785f21fa525ef969ae0e73c523a6,5,80,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x258ca3cd1b0c51b240668aae4b8a10600c077f04,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x7bf690dc8c283d5e3a56a340e13bf058f2e3dd5a,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xfd58e8a364ad9f062de3cc4c6efb4795187a173a,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xd048b4c23af828e5be412505a51a8dd7b37782dd,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x299aef5cc28e1387ee0951163ef67b0c7d591968,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x505dfc50833a4d9e088210ea4dc631f8379e5905,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x4270f39666e7992ac518732c85af2b4b2cbd3de0,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xa7255c85232a42b5c602ed66c319da9af8433bb3,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xd875c7e800baae0714100c9044b55f6768223d7a,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xedbd18b82215e7e39b7080ad967669b00ff1b8b4,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x11f86be349f234686d6feafb3c50b2112fbe4285,5,80,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x11a1764c877837921eca6f3f58cdbe9bcd4e9e5e,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x2caa4694cb7daf7d49a198dc1103c06d4991ae52,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x58e6e35b34d794d15a49b393ec5b469f4a31c6ba,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x6db072742a6ad3772e9340d6d7435075d3213d27,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x949e0a0672299e6fcd6bec3bd1735d6647b20618,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x8a1f040f9c3bc618787e7b7a8ec85d9fc93bc948,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xa0c76ebc7a944b37ebf5e0fe797bea61ddc0ca7c,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x1bac08001d761c303901d5e32273a24c07d3f3da,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xbbc4cbb52c845de491205465cf0955433a96854b,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x0b7dc561777842d55163e0f48886295aad1359b9,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0x4b945b865aea726ecbe31b41170cb8ae4ffcf4b0,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xe9aa536d373adc29d0a40788eb29b706ea101413,5,80,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
2023-08-24,56,0xd484371d12c0e768333a4012f3a7702374d0dac6,5,85,the address is blacklisted based on threat intelligence or manual analysis.,https://twitter.com/HashDit/status/1690981877329649665
